指標名稱,相似度,片段內容
G-1-2,0.8344994832882102,"委員會及董事會。
應評估第一道及第二
道防線進行氣候風險
監控之有效性，並適
時提供改進建議 應評估第一道及第二道防線進行氣候風險監控之有效性，並適
時提供改進建議。情境分析相關文件保管方式
針對永豐金控所執行之情境分析及策略相關資訊留存，包括分析中所使用之關鍵假
設及變數，將由	TCFD 執行小組依循金融監督管理委員會發布之「本國銀行氣候風險財務
揭露指引」以文件化形式保存，若相關資訊因氣候風險管理工作之推展或參考最新的氣
候科學研究而有所更新，TCFD 執行小組亦會將更新內容定期呈報高階管理階層。
3.1 風險政策架構"
G-1-2,0.8339745653634314,"01氣候治理
1.1	 氣候治理架構
1.2	 董事會職責
1�2�1董事會對氣候議題的監督
1�2�22022 年氣候治理決策
1�2�3外部顧問
1�2�4董事會教育訓練
1.3	 高階管理階層職責
1�3�1永續績效連結
1�3�2高階管理階層教育訓練
CHAPTER 01
06
永豐金控   TCFD 報告書     2022"
G-1-2,0.8331113662957919,"方案並設定目標，據以落實永豐金控「減緩與
調適氣候變遷」之永續承諾。
委員會每季追蹤管理執行情形，每半年呈報董
事會。金控風險管理處具體量化之情境分析及財務衝擊
 	依客戶或資產組合，以氣候風險評估方法及流程，辨識與其他風險 ( 信用風險 / 市場風險 / 作業風險及流動
性風險等 ) 之傳導路徑。
 	執行實體風險及轉型風險具體量化之情境分析及財務衝擊。
相應營運策略與財務規劃氣候韌性之減緩及調適措施
 	透過不同路徑之氣候變遷情境分析，辨識氣候風險對營運、策略、產品與財務規劃等之影響，擬具相應營
運策略與財務規劃氣候韌性之減緩及調適措施。
 	訂定高氣候變遷風險客戶及資產之管理措施。"
G-1-2,0.8324655606727716,"02
CHAPTER 02氣候策略
2.1	 氣候風險與機會
2�1�1氣候風險鑑別結果
2�1�2氣候機會鑑別結果
2.2	 氣候策略行動
2�2�1綠色營運
2�2�2綠色投融資
2�2�3綠色採購
12
永豐金控   TCFD 報告書     2022"
G-1-2,0.8320082041461556,"揭示，並呈報風險管理委員會及董事會；同時為落實「減緩與調適氣候變遷」之永續承諾，
每季於永續發展委員會追蹤管理執行情形，並每半年呈報董事會。
1.2.2 2022 年氣候治理決策
永續發展相關議題納入董事會議程之頻率為每半年一次，惟 2022 年因議題需要共提
董事會三次。
另，董事會亦於 2022 年 3 月通過「2030 年達成自身淨零排放、2050 年達成全資產
組合淨零排放，並於兩年內（2024年前）提出執行計畫」，同時承諾自2022年7月1
日起，不再新承作燃料煤及非常規油氣相關之專案融資（包含開採、發電、加工、貿易、"
G-1-2,0.8318505538593006,"透過不同路徑之氣候變遷情境分析，辨識氣候風險對營運、策略、產品與財務規劃等之影響，擬具相應營
運策略與財務規劃氣候韌性之減緩及調適措施。
 	訂定高氣候變遷風險客戶及資產之管理措施。
指標及目標
 	依風險胃納設定投融資組合關鍵指標及訂定短 / 中 / 長期之目標。
 	建立整合性氣候風險管理儀表板，持續進行指標及目標之管理及監控。
TCFD 報告書
 	以治理、策略、風險管理、指標與目標等四個揭露架構編制獨立之 TCFD 報告書金控董事會
金控永續發展委員會永豐金控氣候治理架構
主任委員：金控董事長
委員：金控總經理 / 證券董事長、銀行董事長、"
G-1-3,0.8474453092768165,"及社會的風險與影響，委員會每季追蹤管理執行情形，每半年呈報董事會。永續發展委員會持續關注氣候變遷對公司營運帶來的風險與機會，擬具行動方案並設定目標，據以落實永豐
金控「減緩與調適氣候變遷」之永續承諾，2022 年執行成果如下表。請參見「永豐金控 2022 永續報告書」
行動方案 關鍵 KPI 2022 年目標 達成狀況
導入並持續深化
氣候風險管理掌握氣候變遷造成之財務風險1建立上游供應商氣候風險之鑑別、衡量、監控與報告
2鑑別短中長期氣候風險傳導路徑，具體掌握對營運策略
與財務規劃之影響並評估氣候韌性已達成
提升氣候意識
（員工）「辦公室環保節能守則」員工簽署率 100% 已達成"
G-1-3,0.8428088819861028,"揭露指引」以文件化形式保存，若相關資訊因氣候風險管理工作之推展或參考最新的氣
候科學研究而有所更新，TCFD 執行小組亦會將更新內容定期呈報高階管理階層。
3.1 風險政策架構
永豐金控於董事長轄下設有「永續發展委員會」及「風險管理委員會」，負責監督
永續經營及氣候變遷等相關重要議題。本公司將「氣候變遷風險」納入「風險管理政策」，
並制定「氣候相關風險與機會管理要點」，以健全氣候風險與機會的管理機制。2021 年
起，本公司風險管理處每季於風險管理報告內揭示氣候變遷風險 ( 包含實體風險、轉型風
險各項指標 ) 概況，並呈報風險管理委員會及董事會。"
G-1-3,0.8417346747213935,"03氣候風險管理
3.1	 風險政策架構
3.2	 投融資風險管理
3�2�1責任投資
3�2�2責任授信
3�2�3氣候議合
3.3	 氣候營運風險CHAPTER 03
22
永豐金控   TCFD 報告書     2022"
G-1-3,0.8339330085707997,"揭示，並呈報風險管理委員會及董事會；同時為落實「減緩與調適氣候變遷」之永續承諾，
每季於永續發展委員會追蹤管理執行情形，並每半年呈報董事會。
1.2.2 2022 年氣候治理決策
永續發展相關議題納入董事會議程之頻率為每半年一次，惟 2022 年因議題需要共提
董事會三次。
另，董事會亦於 2022 年 3 月通過「2030 年達成自身淨零排放、2050 年達成全資產
組合淨零排放，並於兩年內（2024年前）提出執行計畫」，同時承諾自2022年7月1
日起，不再新承作燃料煤及非常規油氣相關之專案融資（包含開採、發電、加工、貿易、"
G-1-3,0.8312955220112606,"01氣候治理
1.1	 氣候治理架構
1.2	 董事會職責
1�2�1董事會對氣候議題的監督
1�2�22022 年氣候治理決策
1�2�3外部顧問
1�2�4董事會教育訓練
1.3	 高階管理階層職責
1�3�1永續績效連結
1�3�2高階管理階層教育訓練
CHAPTER 01
06
永豐金控   TCFD 報告書     2022"
G-1-3,0.8308082201487776,"1.1 氣候治理架構
永豐金控以董事會為氣候相關議題之最高治理以及督導單位，負有核定、指導氣候
風險政策之權責。永豐金控董事長轄下有「風險管理委員會」及「永續發展委員會」。永豐金控風險管理委員會由董事長擔任主任委員，金控獨立董事(1人)、總經理、
及銀行董事長等擔任委員，管理氣候變遷相關之風險，以強化氣候韌性。永豐金控將「氣
候變遷風險」納入「風險管理政策」，並建立「氣候相關風險與機會管理要點」，以健
全氣候風險與機會的管理機制。2021 年起，永豐金控風險管理處每季於風險管理報告內
揭示氣候變遷風險 ( 包含實體風險、轉型風險各項指標 ) 概況，並呈報風險管理委員會及"
G-1-3,0.8297144672830714,"委員會及董事會。
應評估第一道及第二
道防線進行氣候風險
監控之有效性，並適
時提供改進建議 應評估第一道及第二道防線進行氣候風險監控之有效性，並適
時提供改進建議。情境分析相關文件保管方式
針對永豐金控所執行之情境分析及策略相關資訊留存，包括分析中所使用之關鍵假
設及變數，將由	TCFD 執行小組依循金融監督管理委員會發布之「本國銀行氣候風險財務
揭露指引」以文件化形式保存，若相關資訊因氣候風險管理工作之推展或參考最新的氣
候科學研究而有所更新，TCFD 執行小組亦會將更新內容定期呈報高階管理階層。
3.1 風險政策架構"
G-1-3,0.8287909139283643,"整合氣候相關財務資訊及財務量化之衝擊，據
以評估並調整金控整體永續金融發展、永續商
品服務、綠能與環境能源管理等策略與政策，
以提升氣候韌性。
金控風險管理處並於風險管理報告內揭示氣候
變遷風險概況及相關專案執行進度，每季呈報
風險管理委員會及董事會。設置公司治理、顧客關係、員工照顧、環境永
續、社會參與等五個推動小組，持續關注氣候
變遷對公司營運帶來的風險與機會，擬具行動
方案並設定目標，據以落實永豐金控「減緩與
調適氣候變遷」之永續承諾。
委員會每季追蹤管理執行情形，每半年呈報董
事會。金控風險管理處具體量化之情境分析及財務衝擊"
G-1-3,0.8272451466490909,"02
CHAPTER 02氣候策略
2.1	 氣候風險與機會
2�1�1氣候風險鑑別結果
2�1�2氣候機會鑑別結果
2.2	 氣候策略行動
2�2�1綠色營運
2�2�2綠色投融資
2�2�3綠色採購
12
永豐金控   TCFD 報告書     2022"
G-1-3,0.8269718454099221,"就氣候變遷議題進行溝通議
合，以強化氣候韌性。▼ 依循赤道原則第四版內容
（EP4），將進一步強化專案
融資中對於人權、生物多樣性
及氣候變遷等風險的評估。
▼ 修訂「責任授信管理要
點」，增訂綠色授信及
社會責任授信之正向績
效指標。▼ 修訂「法金業務手冊 - 赤
道原則篇」，由「環境
與社會風險小組」負責
赤道原則案件之環境與
社會風險評估覆核作業。▼ 修訂「燃料煤及非常規
油氣相關專案融資」排
除政策，自 2022 年 7 月
起適用。
27附錄 氣候治理 前言 實體及轉型風險
之情境分析氣候策略 氣候指標與目標 氣候風險管理 未來展望"
G-2-1,0.827032968876975,"揭露指引」以文件化形式保存，若相關資訊因氣候風險管理工作之推展或參考最新的氣
候科學研究而有所更新，TCFD 執行小組亦會將更新內容定期呈報高階管理階層。
3.1 風險政策架構
永豐金控於董事長轄下設有「永續發展委員會」及「風險管理委員會」，負責監督
永續經營及氣候變遷等相關重要議題。本公司將「氣候變遷風險」納入「風險管理政策」，
並制定「氣候相關風險與機會管理要點」，以健全氣候風險與機會的管理機制。2021 年
起，本公司風險管理處每季於風險管理報告內揭示氣候變遷風險 ( 包含實體風險、轉型風
險各項指標 ) 概況，並呈報風險管理委員會及董事會。"
G-2-1,0.8253926240696431,"並制定「氣候相關風險與機會管理要點」，以評估集團自身業務氣候風險相關風險與機
會，衡量相關風險與機會對財務、業務規劃及策略之影響，並且擬定因應氣候變遷採取
減緩及調適行動。此外，訂有「天然災害緊急應變作業要點」建立緊急通報程序與應變
處理指導方針，強化面對天然災害等重大緊急事件時之緊急應變處理能力。
永豐金控於氣候風險與機會辨識流程中，針對所蒐羅之氣候相關風險與機會議題，
綜合考量「發生時間」、「發生可能性」和「影響程度 	註1」，將各維度之鑑別分數相乘
計算，再依各子公司淨值為權重得出金控整體鑑別結果，以作為風險與機會重大性之排"
G-2-1,0.8214367419418348,"委員會及董事會。
應評估第一道及第二
道防線進行氣候風險
監控之有效性，並適
時提供改進建議 應評估第一道及第二道防線進行氣候風險監控之有效性，並適
時提供改進建議。情境分析相關文件保管方式
針對永豐金控所執行之情境分析及策略相關資訊留存，包括分析中所使用之關鍵假
設及變數，將由	TCFD 執行小組依循金融監督管理委員會發布之「本國銀行氣候風險財務
揭露指引」以文件化形式保存，若相關資訊因氣候風險管理工作之推展或參考最新的氣
候科學研究而有所更新，TCFD 執行小組亦會將更新內容定期呈報高階管理階層。
3.1 風險政策架構"
G-2-1,0.8202793473348772,"及社會的風險與影響，委員會每季追蹤管理執行情形，每半年呈報董事會。永續發展委員會持續關注氣候變遷對公司營運帶來的風險與機會，擬具行動方案並設定目標，據以落實永豐
金控「減緩與調適氣候變遷」之永續承諾，2022 年執行成果如下表。請參見「永豐金控 2022 永續報告書」
行動方案 關鍵 KPI 2022 年目標 達成狀況
導入並持續深化
氣候風險管理掌握氣候變遷造成之財務風險1建立上游供應商氣候風險之鑑別、衡量、監控與報告
2鑑別短中長期氣候風險傳導路徑，具體掌握對營運策略
與財務規劃之影響並評估氣候韌性已達成
提升氣候意識
（員工）「辦公室環保節能守則」員工簽署率 100% 已達成"
G-2-1,0.8201328870363018,"風險/機會。
  對於金控層級之氣候相關風險 /機會，擬具減緩或調
適措施/因應策略。  金控將辨識出之氣候相關風險 /機會及減緩或調適措
施/因應策略，併同本公司每年之永續報告書或 TCFD
報告書呈核核准後對外揭露。子公司進行氣候相關風險 / 機會評估鑑別金控層級之
氣候相關風險 / 機會及減緩或調適措施呈報氣候相關風險 / 機會風險 / 機會評估衡量 報告 風險 / 機會辨識風險 / 機會回應
減緩或調適措施 / 因應策略STEP
2STEP
4STEP
1STEP
3
  參考TCFD建議書及產業標竿企業之永續報告書等，"
G-2-1,0.8188494312054481,"氣候變遷對於企業及社會環境造成顯著影響，為掌握氣候變遷之具體影響，強化氣候相關議題，由永豐金控風險管理處每年定期提供之氣候相關風險、機會評估表，參考國內外機
構所發布有關氣候相關管理之法規、報告等資訊，由各子公司風險管理單位執行氣候相關風險與機會鑑別。氣候風險與機會管理流程如下圖：
永豐金控氣候相關風險與機會管理流程
 子公司透過質化或量化方式，評估發生可能性。
 子公司透過質化或量化方式，評估衝擊影響程度。
  子公司辨識營運及業務應關注之氣候相關風險和機
會，並研擬減緩或調適措施/因應策略。
  子公司風險管理單位呈送氣候相關風險、機會評估表"
G-2-1,0.8171117798616166,"於辦理相關業務時，
應評估氣候風險，將
氣候相關風險納入業
務考量 辦理各項業務與營運活動時，將氣候風險納入業務考量，辨識
氣候風險與其他風險之關聯性，如信用風險、市場風險、作業
風險及流動性風險等，控管日常營運之業務，採取適當辨識、
評估與管理程序，以確保風險在初期就能被適當控管。依據所
辨識或評估之氣候風險高低或風險次序，對於氣候風險高之業
務或交易採行差異化風險管理措施。
有效監控第一道防線
對於氣候風險管理之
執行，並應確保相關
作業均遵守法令規範 訂定整體政策及建立管理制度，協助各相關單位落實氣候變遷
風險管理及監督第一道防線管理風險執行情形。"
G-2-1,0.8169125517087057,"1.1 氣候治理架構
永豐金控以董事會為氣候相關議題之最高治理以及督導單位，負有核定、指導氣候
風險政策之權責。永豐金控董事長轄下有「風險管理委員會」及「永續發展委員會」。永豐金控風險管理委員會由董事長擔任主任委員，金控獨立董事(1人)、總經理、
及銀行董事長等擔任委員，管理氣候變遷相關之風險，以強化氣候韌性。永豐金控將「氣
候變遷風險」納入「風險管理政策」，並建立「氣候相關風險與機會管理要點」，以健
全氣候風險與機會的管理機制。2021 年起，永豐金控風險管理處每季於風險管理報告內
揭示氣候變遷風險 ( 包含實體風險、轉型風險各項指標 ) 概況，並呈報風險管理委員會及"
G-2-1,0.8164248494511619,"減緩或調適措施 / 因應策略STEP
2STEP
4STEP
1STEP
3
  參考TCFD建議書及產業標竿企業之永續報告書等，
做為氣候相關風險及機會鑑別、評估及管理之指引。
 金控每年通知子公司評估氣候相關風險及機會。金控啟動氣候相關風險 / 機會鑑別程序
2.1 氣候風險與機會
為建立整合性的風險管理架構，本公司將「氣候變遷風險」納入「風險管理政策」，
並制定「氣候相關風險與機會管理要點」，以評估集團自身業務氣候風險相關風險與機
會，衡量相關風險與機會對財務、業務規劃及策略之影響，並且擬定因應氣候變遷採取"
G-2-1,0.8161848231488924,"方案並設定目標，據以落實永豐金控「減緩與
調適氣候變遷」之永續承諾。
委員會每季追蹤管理執行情形，每半年呈報董
事會。金控風險管理處具體量化之情境分析及財務衝擊
 	依客戶或資產組合，以氣候風險評估方法及流程，辨識與其他風險 ( 信用風險 / 市場風險 / 作業風險及流動
性風險等 ) 之傳導路徑。
 	執行實體風險及轉型風險具體量化之情境分析及財務衝擊。
相應營運策略與財務規劃氣候韌性之減緩及調適措施
 	透過不同路徑之氣候變遷情境分析，辨識氣候風險對營運、策略、產品與財務規劃等之影響，擬具相應營
運策略與財務規劃氣候韌性之減緩及調適措施。
 	訂定高氣候變遷風險客戶及資產之管理措施。"
G-2-2,0.8207679136028154,"風險/機會。
  對於金控層級之氣候相關風險 /機會，擬具減緩或調
適措施/因應策略。  金控將辨識出之氣候相關風險 /機會及減緩或調適措
施/因應策略，併同本公司每年之永續報告書或 TCFD
報告書呈核核准後對外揭露。子公司進行氣候相關風險 / 機會評估鑑別金控層級之
氣候相關風險 / 機會及減緩或調適措施呈報氣候相關風險 / 機會風險 / 機會評估衡量 報告 風險 / 機會辨識風險 / 機會回應
減緩或調適措施 / 因應策略STEP
2STEP
4STEP
1STEP
3
  參考TCFD建議書及產業標竿企業之永續報告書等，"
G-2-2,0.8135174966206077,"委員會及董事會。
應評估第一道及第二
道防線進行氣候風險
監控之有效性，並適
時提供改進建議 應評估第一道及第二道防線進行氣候風險監控之有效性，並適
時提供改進建議。情境分析相關文件保管方式
針對永豐金控所執行之情境分析及策略相關資訊留存，包括分析中所使用之關鍵假
設及變數，將由	TCFD 執行小組依循金融監督管理委員會發布之「本國銀行氣候風險財務
揭露指引」以文件化形式保存，若相關資訊因氣候風險管理工作之推展或參考最新的氣
候科學研究而有所更新，TCFD 執行小組亦會將更新內容定期呈報高階管理階層。
3.1 風險政策架構"
G-2-2,0.8133815941075843,"揭露指引」以文件化形式保存，若相關資訊因氣候風險管理工作之推展或參考最新的氣
候科學研究而有所更新，TCFD 執行小組亦會將更新內容定期呈報高階管理階層。
3.1 風險政策架構
永豐金控於董事長轄下設有「永續發展委員會」及「風險管理委員會」，負責監督
永續經營及氣候變遷等相關重要議題。本公司將「氣候變遷風險」納入「風險管理政策」，
並制定「氣候相關風險與機會管理要點」，以健全氣候風險與機會的管理機制。2021 年
起，本公司風險管理處每季於風險管理報告內揭示氣候變遷風險 ( 包含實體風險、轉型風
險各項指標 ) 概況，並呈報風險管理委員會及董事會。"
G-2-2,0.8112289016730418,"並制定「氣候相關風險與機會管理要點」，以評估集團自身業務氣候風險相關風險與機
會，衡量相關風險與機會對財務、業務規劃及策略之影響，並且擬定因應氣候變遷採取
減緩及調適行動。此外，訂有「天然災害緊急應變作業要點」建立緊急通報程序與應變
處理指導方針，強化面對天然災害等重大緊急事件時之緊急應變處理能力。
永豐金控於氣候風險與機會辨識流程中，針對所蒐羅之氣候相關風險與機會議題，
綜合考量「發生時間」、「發生可能性」和「影響程度 	註1」，將各維度之鑑別分數相乘
計算，再依各子公司淨值為權重得出金控整體鑑別結果，以作為風險與機會重大性之排"
G-2-2,0.8095545759690981,"02
CHAPTER 02氣候策略
2.1	 氣候風險與機會
2�1�1氣候風險鑑別結果
2�1�2氣候機會鑑別結果
2.2	 氣候策略行動
2�2�1綠色營運
2�2�2綠色投融資
2�2�3綠色採購
12
永豐金控   TCFD 報告書     2022"
G-2-2,0.8070443939654862,"四步驟，以辨識出氣候風險與機會如何影響企業之業務、策略及財務(短期、中期、長期)
請詳見 2 氣候策略	
第一道
防線
第二道
防線
第三道
防線
23附錄 氣候治理 前言 實體及轉型風險
之情境分析氣候策略 氣候指標與目標 氣候風險管理 未來展望
永豐金控   TCFD 報告書     2022"
G-2-2,0.8054586609371124,"氣候變遷對於企業及社會環境造成顯著影響，為掌握氣候變遷之具體影響，強化氣候相關議題，由永豐金控風險管理處每年定期提供之氣候相關風險、機會評估表，參考國內外機
構所發布有關氣候相關管理之法規、報告等資訊，由各子公司風險管理單位執行氣候相關風險與機會鑑別。氣候風險與機會管理流程如下圖：
永豐金控氣候相關風險與機會管理流程
 子公司透過質化或量化方式，評估發生可能性。
 子公司透過質化或量化方式，評估衝擊影響程度。
  子公司辨識營運及業務應關注之氣候相關風險和機
會，並研擬減緩或調適措施/因應策略。
  子公司風險管理單位呈送氣候相關風險、機會評估表"
G-2-2,0.8043511260519431,"減緩或調適措施 / 因應策略STEP
2STEP
4STEP
1STEP
3
  參考TCFD建議書及產業標竿企業之永續報告書等，
做為氣候相關風險及機會鑑別、評估及管理之指引。
 金控每年通知子公司評估氣候相關風險及機會。金控啟動氣候相關風險 / 機會鑑別程序
2.1 氣候風險與機會
為建立整合性的風險管理架構，本公司將「氣候變遷風險」納入「風險管理政策」，
並制定「氣候相關風險與機會管理要點」，以評估集團自身業務氣候風險相關風險與機
會，衡量相關風險與機會對財務、業務規劃及策略之影響，並且擬定因應氣候變遷採取"
